date,net_sales_actual,yhat,yhat_lower,yhat_upper,model,is_forecast
2025-07-15,2622.19,,,,prophet,False
2025-07-16,2173.39,,,,prophet,False
2025-07-17,2119.75,,,,prophet,False
2025-07-18,3049.25,,,,prophet,False
2025-07-19,4376.84,,,,prophet,False
2025-07-20,2206.48,,,,prophet,False
2025-07-21,0.0,,,,prophet,False
2025-07-22,2042.56,,,,prophet,False
2025-07-23,2149.8,,,,prophet,False
2025-07-24,2721.09,,,,prophet,False
2025-07-25,2375.6,,,,prophet,False
2025-07-26,4654.92,,,,prophet,False
2025-07-27,2441.08,,,,prophet,False
2025-07-28,0.0,,,,prophet,False
2025-07-29,2697.93,,,,prophet,False
2025-07-30,2140.41,,,,prophet,False
2025-07-31,2838.29,,,,prophet,False
2025-08-01,3380.24,,,,prophet,False
2025-08-02,4474.19,,,,prophet,False
2025-08-03,2139.38,,,,prophet,False
2025-08-04,0.0,,,,prophet,False
2025-08-05,2766.6,,,,prophet,False
2025-08-06,2254.24,,,,prophet,False
2025-08-07,2397.3,,,,prophet,False
2025-08-08,2939.07,,,,prophet,False
2025-08-09,4341.15,,,,prophet,False
2025-08-10,2049.15,,,,prophet,False
2025-08-11,0.0,,,,prophet,False
2025-08-12,2637.73,,,,prophet,False
2025-08-13,1846.76,,,,prophet,False
2025-08-14,2553.47,,,,prophet,False
2025-08-15,2857.09,,,,prophet,False
2025-08-16,3411.01,,,,prophet,False
2025-08-17,2442.01,,,,prophet,False
2025-08-18,0.0,,,,prophet,False
2025-08-19,2028.7,,,,prophet,False
2025-08-20,1872.02,,,,prophet,False
2025-08-21,2581.36,,,,prophet,False
2025-08-22,3198.07,,,,prophet,False
2025-08-23,3916.66,,,,prophet,False
2025-08-24,2867.89,,,,prophet,False
2025-08-25,0.0,,,,prophet,False
2025-08-26,2321.88,,,,prophet,False
2025-08-27,2193.97,,,,prophet,False
2025-08-28,2335.7,,,,prophet,False
2025-08-29,2551.98,,,,prophet,False
2025-08-30,4500.63,,,,prophet,False
2025-08-31,2617.46,,,,prophet,False
2025-09-01,0.0,,,,prophet,False
2025-09-02,1771.83,,,,prophet,False
2025-09-03,2324.05,,,,prophet,False
2025-09-04,2263.49,,,,prophet,False
2025-09-05,2952.59,,,,prophet,False
2025-09-06,4019.09,,,,prophet,False
2025-09-07,5180.57,,,,prophet,False
2025-09-08,0.0,,,,prophet,False
2025-09-09,2096.94,,,,prophet,False
2025-09-10,2032.61,,,,prophet,False
2025-09-11,2150.02,,,,prophet,False
2025-09-12,2978.53,,,,prophet,False
2025-09-13,3271.34,,,,prophet,False
2025-09-14,1936.14,,,,prophet,False
2025-09-15,0.0,,,,prophet,False
2025-09-16,2642.95,,,,prophet,False
2025-09-17,2502.25,,,,prophet,False
2025-09-18,2079.6,,,,prophet,False
